Filename,255_Pixel_Ratio,Percentage,Saved
L2016244.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016245.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.170106,17.01,Yes
L2016246.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.044630,4.46,Yes
L2016247.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.218007,21.80,Yes
L2016248.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016249.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.005765,0.58,Yes
L2016250.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.097984,9.80,Yes
L2016251.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.342235,34.22,No
L2016252.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016253.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.043375,4.34,Yes
L2016254.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.351590,35.16,No
L2016255.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016256.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.386196,38.62,No
L2016257.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.158041,15.80,Yes
L2016258.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.304662,30.47,No
L2016259.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016260.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.247817,24.78,Yes
L2016261.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016262.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.090306,9.03,Yes
L2016263.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016264.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.114337,11.43,Yes
L2016265.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.228229,22.82,Yes
L2016266.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.248678,24.87,Yes
L2016267.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016268.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.082624,8.26,Yes
L2016269.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.012992,1.30,Yes
L2016270.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016271.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016272.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.234030,23.40,Yes
L2016273.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.368185,36.82,No
L2016274.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.410895,41.09,No
L2016275.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016276.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.254823,25.48,Yes
L2016277.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.295111,29.51,Yes
L2016278.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.340995,34.10,No
L2016279.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016280.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.025344,2.53,Yes
L2016281.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.033601,3.36,Yes
L2016282.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016283.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.397492,39.75,No
L2016284.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.029833,2.98,Yes
